_id,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
617082fa2299cb9f2c271806,nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt3442006,tt1723121,tt0279113,tt0108778"
617082fa2299cb9f2c271807,nm0000074,Gene Tierney,1920,1991,"actress,soundtrack","tt0035979,tt0039420,tt0037008,tt0037865"
617082fa2299cb9f2c271808,nm0000075,Spencer Tracy,1900,1967,"actor,soundtrack","tt0061735,tt0055031,tt0047849,tt0053946"
617082fa2299cb9f2c271809,nm0000076,François Truffaut,1932,1984,"writer,director,producer","tt0053198,tt0075860,tt0070460,tt0055032"
617082fa2299cb9f2c27180a,nm0000077,Franz Waxman,1906,1967,"music_department,composer,soundtrack","tt0026138,tt0043014,tt0034248,tt0032976"
617082fa2299cb9f2c27180b,nm0000078,John Wayne,1907,1979,"actor,producer,soundtrack","tt0053580,tt0056217,tt0075213,tt0065126"
617082fa2299cb9f2c27180c,nm0000079,Raquel Welch,1940,2023,"actress,soundtrack,producer","tt0066115,tt0072281,tt0068675,tt0061653"
617082fa2299cb9f2c27180d,nm0000080,Orson Welles,1915,1985,"actor,writer,director","tt0040525,tt0052311,tt0033467,tt0057427"
617082fa2299cb9f2c27180e,nm0000099,Patricia Arquette,1968,\N,"actress,producer,director","tt0108399,tt0145531,tt0412175,tt1065073"
617082fa2299cb9f2c27180f,nm0000100,Rowan Atkinson,1955,\N,"actor,writer,soundtrack","tt1634122,tt0274166,tt0118689,tt0110357"
617082fa2299cb9f2c271810,nm0000101,Dan Aykroyd,1952,\N,"writer,actor,producer","tt0102558,tt0080455,tt0118747,tt0087332"
617082fa2299cb9f2c271811,nm0000102,Kevin Bacon,1958,\N,"actor,producer,soundtrack","tt0087277,tt0327056,tt0164052,tt0361127"
617082fa2299cb9f2c271812,nm0000103,Fairuza Balk,1974,\N,"actress,soundtrack","tt0089908,tt0181875,tt0120586,tt0115963"
617082fa2299cb9f2c271813,nm0000104,Antonio Banderas,1960,\N,"actor,soundtrack,producer","tt0120746,tt0120657,tt0112851,tt1189073"
617082fa2299cb9f2c271814,nm0000105,Adrienne Barbeau,1945,\N,"actress,soundtrack","tt0082340,tt0083767,tt0080749,tt0090685"
617082fa2299cb9f2c271815,nm0000106,Drew Barrymore,1975,\N,"producer,actress,soundtrack","tt0151738,tt0343660,tt0120631,tt0160127"
617082fa2299cb9f2c271816,nm0000107,Kim Basinger,1953,\N,"actress,soundtrack,producer","tt0108525,tt0337921,tt0096895,tt0119488"
617082fa2299cb9f2c271817,nm0000115,Nicolas Cage,1964,\N,"actor,producer,soundtrack","tt0119094,tt0435705,tt0113627,tt0117500"
617082fa2299cb9f2c271818,nm0000116,James Cameron,1954,\N,"writer,producer,director","tt0499549,tt0120338,tt0090605,tt1630029"
617082fa2299cb9f2c271819,nm0000117,Neve Campbell,1973,\N,"actress,producer,soundtrack","tt0120082,tt0117571,tt0120890,tt0134084"
617082fa2299cb9f2c27181a,nm0000118,John Carpenter,1948,\N,"soundtrack,music_department,writer","tt0082340,tt0069945,tt0077651,tt0080749"
617082fa2299cb9f2c27181b,nm0000119,Tia Carrere,\N,\N,"actress,soundtrack,producer","tt0275847,tt0207919,tt0105793,tt0111503"
617082fa2299cb9f2c27181c,nm0000120,Jim Carrey,1962,\N,"actor,writer,soundtrack","tt0338013,tt0315327,tt0109040,tt0110475"
617082fa2299cb9f2c27181d,nm0000121,Phoebe Cates,1963,\N,"actress,soundtrack","tt0083929,tt0101775,tt0086143,tt0087363"
617082fa2299cb9f2c27181e,nm0000122,Charles Chaplin,1889,1977,"soundtrack,writer,actor","tt0021749,tt0032553,tt0027977,tt0044837"
