_id,id,titleText,releaseYear,releaseDate
61e57fd7cc0d1f7890777f8e,tt0000577,"{'text': 'Angelo, Tyran fra Padua', '__typename': 'TitleText'}","{'year': 1907, 'endYear': None, '__typename': 'YearRange'}","{'day': 24, 'month': 11, 'year': 1907, '__typename': 'ReleaseDate'}"
61e57fd7cc0d1f7890777f90,tt0000624,"{'text': 'The Ugly Duckling', '__typename': 'TitleText'}","{'year': 1907, 'endYear': None, '__typename': 'YearRange'}","{'day': 1, 'month': 5, 'year': 1907, '__typename': 'ReleaseDate'}"
61e57fd7cc0d1f7890777f92,tt0000608,"{'text': 'En ny hat til Madammen', '__typename': 'TitleText'}","{'year': 1906, 'endYear': None, '__typename': 'YearRange'}","{'day': 14, 'month': 11, 'year': 1906, '__typename': 'ReleaseDate'}"
61e57fd7cc0d1f7890777f94,tt0000678,"{'text': 'Excursión a Montserrat', '__typename': 'TitleText'}","{'year': 1908, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7cc0d1f7890777f96,tt0000333,"{'text': ""Le sang d'Adonis donnant naissance à la rose rouge"", '__typename': 'TitleText'}","{'year': 1900, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7cc0d1f7890777f98,tt0000401,"{'text': 'Le marchand de ballons', '__typename': 'TitleText'}","{'year': 1902, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7cc0d1f7890777f9a,tt0000392,"{'text': 'The Enchanted Cup', '__typename': 'TitleText'}","{'year': 1903, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': 7, 'year': 1902, '__typename': 'ReleaseDate'}"
61e57fd7cc0d1f7890777f9c,tt0000728,"{'text': 'Money Mad', '__typename': 'TitleText'}","{'year': 1908, 'endYear': None, '__typename': 'YearRange'}","{'day': 4, 'month': 12, 'year': 1908, '__typename': 'ReleaseDate'}"
61e57fd7cc0d1f7890777f9e,tt0000753,"{'text': 'The Romance of an Egg', '__typename': 'TitleText'}","{'year': 1908, 'endYear': None, '__typename': 'YearRange'}","{'day': 5, 'month': 6, 'year': 1908, '__typename': 'ReleaseDate'}"
61e57fd7cc0d1f7890777fa0,tt0000365,"{'text': 'Parada de Bombeiros', '__typename': 'TitleText'}","{'year': 1901, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7cc0d1f7890777fa2,tt0000428,"{'text': 'Carreras de bicicletas en el parque', '__typename': 'TitleText'}","{'year': 1903, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7cc0d1f7890777fa4,tt0000872,"{'text': 'The Foundling', '__typename': 'TitleText'}","{'year': 1909, 'endYear': None, '__typename': 'YearRange'}","{'day': 12, 'month': 6, 'year': 1909, '__typename': 'ReleaseDate'}"
61e57fd7cc0d1f7890777fa6,tt0000441,"{'text': 'Gulliver en el país de los gigantes', '__typename': 'TitleText'}","{'year': 1903, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7cc0d1f7890777fa8,tt0000462,"{'text': 'La poule fantaisiste', '__typename': 'TitleText'}","{'year': 1903, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7cc0d1f7890777faa,tt0000503,"{'text': 'Corrida de beneficencia en Zaragoza, por Quinito y Montes', '__typename': 'TitleText'}","{'year': 1905, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7cc0d1f7890777fac,tt0000539,"{'text': 'Bonden i København', '__typename': 'TitleText'}","{'year': 1906, 'endYear': None, '__typename': 'YearRange'}","{'day': 1, 'month': 10, 'year': 1906, '__typename': 'ReleaseDate'}"
61e57fd7cc0d1f7890777fae,tt0000571,"{'text': 'The San Francisco Earthquake', '__typename': 'TitleText'}","{'year': 1906, 'endYear': None, '__typename': 'YearRange'}",
61e57fd7cc0d1f7890777fb0,tt0001021,"{'text': 'Robbing the Widowed and Fatherless', '__typename': 'TitleText'}","{'year': 1909, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': 9, 'year': 1909, '__typename': 'ReleaseDate'}"
61e57fd7cc0d1f7890777fb2,tt0000554,"{'text': 'Humorous Phases of Funny Faces', '__typename': 'TitleText'}","{'year': 1906, 'endYear': None, '__typename': 'YearRange'}","{'day': 6, 'month': 4, 'year': 1906, '__typename': 'ReleaseDate'}"
